anio,departamento,cantidad
2019,Amazonas,2656
2019,Ancash,12091
2019,Apurimac,3482
2019,Arequipa,15430
2019,Ayacucho,5845
2019,Cajamarca,6045
2019,Callao,13175
2019,Cusco,11024
2019,Huancavelica,1086
2019,Huanuco,5705
2019,Ica,14786
2019,Junin,7981
2019,La Libertad,20350
2019,Lambayeque,27837
2019,Lima,116811
2019,Loreto,7081
2019,Madre De Dios,3530
2019,Moquegua,2511
2019,Pasco,1074
2019,Piura,19860
2019,Puno,5035
2019,San Martin,2944
2019,Tacna,3881
2019,Tumbes,2900
2019,Ucayali,8471
2020,Amazonas,2099
2020,Ancash,7565
2020,Apurimac,2540
2020,Arequipa,8680
2020,Ayacucho,3132
2020,Cajamarca,3801
2020,Callao,9263
2020,Cusco,7126
2020,Huancavelica,855
2020,Huanuco,3958
2020,Ica,6251
2020,Junin,7795
2020,La Libertad,10375
2020,Lambayeque,17352
2020,Lima,60815
2020,Loreto,3887
2020,Madre De Dios,2126
2020,Moquegua,1383
2020,Pasco,632
2020,Piura,12257
2020,Puno,3228
2020,San Martin,2008
2020,Tacna,1936
2020,Tumbes,1497
2020,Ucayali,4193
2021,Amazonas,4188
2021,Ancash,10757
2021,Apurimac,3674
2021,Arequipa,17551
2021,Ayacucho,6911
2021,Cajamarca,6074
2021,Callao,13299
2021,Cusco,9248
2021,Huancavelica,1086
2021,Huanuco,6710
2021,Ica,11434
2021,Junin,11178
2021,La Libertad,16721
2021,Lambayeque,26392
2021,Lima,71319
2021,Loreto,5389
2021,Madre De Dios,3427
2021,Moquegua,2146
2021,Pasco,936
2021,Piura,16033
2021,Puno,5769
2021,San Martin,3092
2021,Tacna,3978
2021,Tumbes,1540
2021,Ucayali,4014
2022,Amazonas,3735
2022,Ancash,13049
2022,Apurimac,2759
2022,Arequipa,22029
2022,Ayacucho,7556
2022,Cajamarca,6466
2022,Callao,12522
2022,Cusco,10012
2022,Huancavelica,1120
2022,Huanuco,8493
2022,Ica,11985
2022,Junin,13844
2022,La Libertad,20340
2022,Lambayeque,33861
2022,Lima,85742
2022,Loreto,6701
2022,Madre De Dios,3387
2022,Moquegua,2843
2022,Pasco,1122
2022,Piura,19551
2022,Puno,5868
2022,San Martin,4898
2022,Tacna,4412
2022,Tumbes,1971
2022,Ucayali,5132
2023,Amazonas,4151
2023,Ancash,14095
2023,Apurimac,3862
2023,Arequipa,26360
2023,Ayacucho,9032
2023,Cajamarca,8410
2023,Callao,17101
2023,Cusco,12392
2023,Huancavelica,1028
2023,Huanuco,10219
2023,Ica,15159
2023,Junin,16077
2023,La Libertad,21448
2023,Lambayeque,41626
2023,Lima,127147
2023,Loreto,7688
2023,Madre De Dios,4423
2023,Moquegua,3069
2023,Pasco,1423
2023,Piura,22863
2023,Puno,6261
2023,San Martin,8488
2023,Tacna,4992
2023,Tumbes,2177
2023,Ucayali,7745
