departamento,2024,2025
Amazonas,4753,5216
Ancash,14358,15308
Apurimac,3557,3654
Arequipa,28572,32093
Ayacucho,9734,10814
Cajamarca,8377,9117
Callao,16405,17516
Cusco,11646,12209
Huancavelica,1079,1094
Huanuco,11085,12442
Ica,13867,14515
Junin,18047,20271
La Libertad,21495,22711
Lambayeque,42639,47048
Lima,106046,110606
Loreto,7357,7760
Madre De Dios,4292,4597
Moquegua,3163,3420
Pasco,1393,1512
Piura,22102,23432
Puno,6759,7269
San Martin,8479,9877
Tacna,5249,5719
Tumbes,1725,1628
Ucayali,5757,5705
